Spielzeit;Saison;Spieltag;Datum;Uhrzeit;Heim;Gast;Ergebnis;Halbzeit
1;1963-1964;1;1963-08-24;17:00;Werder Bremen;Borussia Dortmund;3:2;1:1
1;1963-1964;1;1963-08-24;17:00;1. FC Saarbruecken;1. FC Koeln;0:2;0:2
1;1963-1964;1;1963-08-24;17:00;TSV 1860 Muenchen;Eintracht Braunschweig;1:1;1:0
1;1963-1964;1;1963-08-24;17:00;Eintracht Frankfurt;1. FC Kaiserslautern;1:1;1:1
1;1963-1964;1;1963-08-24;17:00;FC Schalke 04;VfB Stuttgart;2:0;2:0
1;1963-1964;1;1963-08-24;17:00;Preussen Muenster;Hamburger SV;1:1;0:0
1;1963-1964;1;1963-08-24;17:00;Karlsruher SC;MSV Duisburg;1:4;0:3
1;1963-1964;1;1963-08-24;17:00;Hertha BSC;1. FC Nuernberg;1:1;0:1
1;1963-1964;2;1963-08-31;17:00;Borussia Dortmund;TSV 1860 Muenchen;3:3;2:1
1;1963-1964;2;1963-08-31;17:00;Hamburger SV;1. FC Saarbruecken;4:2;1:2
1;1963-1964;2;1963-08-31;17:00;1. FC Nuernberg;Werder Bremen;3:0;2:0
1;1963-1964;2;1963-08-31;17:00;1. FC Koeln;Karlsruher SC;4:0;2:0
1;1963-1964;2;1963-08-31;17:00;1. FC Kaiserslautern;FC Schalke 04;2:3;1:1
1;1963-1964;2;1963-08-31;17:00;VfB Stuttgart;Hertha BSC;2:0;2:0
1;1963-1964;2;1963-08-31;17:00;MSV Duisburg;Eintracht Frankfurt;3:1;2:0
1;1963-1964;2;1963-08-31;17:00;Eintracht Braunschweig;Preussen Muenster;1:0;1:0
1;1963-1964;3;1963-09-07;16:30;TSV 1860 Muenchen;1. FC Koeln;1:3;0:0
1;1963-1964;3;1963-09-07;16:30;Karlsruher SC;Hamburger SV;0:4;0:3
1;1963-1964;3;1963-09-07;16:30;Eintracht Frankfurt;1. FC Nuernberg;2:3;1:1
1;1963-1964;3;1963-09-07;16:30;FC Schalke 04;Borussia Dortmund;3:1;1:1
1;1963-1964;3;1963-09-07;16:30;Werder Bremen;VfB Stuttgart;2:2;1:2
1;1963-1964;3;1963-09-07;16:30;Hertha BSC;1. FC Kaiserslautern;2:2;0:2
1;1963-1964;3;1963-09-07;16:30;Preussen Muenster;MSV Duisburg;4:2;2:0
1;1963-1964;3;1963-09-07;16:30;1. FC Saarbruecken;Eintracht Braunschweig;2:2;0:1
1;1963-1964;4;1963-09-14;16:30;1. FC Koeln;FC Schalke 04;2:2;1:2
1;1963-1964;4;1963-09-14;16:30;1. FC Nuernberg;Preussen Muenster;2:2;1:2
1;1963-1964;4;1963-09-14;16:30;Borussia Dortmund;1. FC Saarbruecken;2:1;0:1
1;1963-1964;4;1963-09-14;16:30;Hamburger SV;Eintracht Frankfurt;3:0;1:0
1;1963-1964;4;1963-09-14;16:30;VfB Stuttgart;TSV 1860 Muenchen;1:1;1:1
1;1963-1964;4;1963-09-14;16:30;1. FC Kaiserslautern;Werder Bremen;3:0;1:0
1;1963-1964;4;1963-09-14;16:30;MSV Duisburg;Hertha BSC;1:3;0:1
1;1963-1964;4;1963-09-14;16:30;Eintracht Braunschweig;Karlsruher SC;2:0;1:0
1;1963-1964;5;1963-09-21;16:30;FC Schalke 04;Hamburger SV;1:0;1:0
1;1963-1964;5;1963-09-21;16:30;1. FC Saarbruecken;1. FC Nuernberg;3:5;2:2
1;1963-1964;5;1963-09-21;16:30;Hertha BSC;1. FC Koeln;0:3;0:1
1;1963-1964;5;1963-09-21;16:30;Karlsruher SC;Borussia Dortmund;1:3;0:2
1;1963-1964;5;1963-09-21;16:30;TSV 1860 Muenchen;1. FC Kaiserslautern;3:0;0:0
1;1963-1964;5;1963-09-21;16:30;Eintracht Frankfurt;Eintracht Braunschweig;3:0;2:0
1;1963-1964;5;1963-09-21;16:30;Preussen Muenster;VfB Stuttgart;4:2;1:2
1;1963-1964;5;1963-09-21;16:30;Werder Bremen;MSV Duisburg;1:1;0:1
1;1963-1964;6;1963-10-05;15:30;1. FC Koeln;Werder Bremen;4:3;0:1
1;1963-1964;6;1963-10-05;15:30;1. FC Kaiserslautern;Preussen Muenster;0:0;0:0
1;1963-1964;6;1963-10-05;15:30;MSV Duisburg;TSV 1860 Muenchen;3:0;1:0
