key,     name,                      basename,       start_season, end_season, comments

ar.1,    Argentina Primera Division, 1-primeradivision,,,

br.1,    Brasileiro Série A,         1-seriea,,,
br.2,    Brasileiro Série B,         2-serieb,,,
br.3,    Brasileiro Série C,         3-seriec,,,
br.4,    Brasileiro Série D,         4-seried,,,
## br.cup,  Copa do Brasil,               cup,,,

## br.carioca,     Campeonato Carioca,   carioca,,,
## br.gauchao,     Campeonato Gaúcho,    gauchao,,,
## br.mineiro,     Campeonato Mineiro,   mineiro,,,
## br.paranaense,  Campeonato Paranaense, paranaense,,,
## br.paulistao,   Campeonato Paulista,   paulistao,,,

co.1,     Colombia Primera A,  1-primeraa,,,


copa.l,  Copa Libertadores,         libertadores,,,
copa.s,  Copa Sudamericana,         sudamericana,,,


mx.1,    Liga MX,                    1-ligamx,,,
mx.2,    Liga de Expansión MX,       2-ligaexpansionmx,  2020/21,,
mx.2,    Ascenso MX,                 2-ascensomx,               ,2019/20,



